POIID,Description,Latitude,Longitude,Width,Length,Flat,PicnicTable,FireRing,Grill,PitToilet,FlushToilet,PotableWater,NonPotableWater,RegistrationRequired,DateLastUpdated
1,"Cherokee National Forest USFS near Elizabethton, TN off of Panhandle Rd, flat parking spot in a pushoff just off of Panhandle Rd.  Privacy behind parking spot, but road lies in front of the pushoff.  Road sees light use (1 car every 20-40 min) as a forest service road.  I accessed it off of TN 91 north east of Elizabethton.  There was no road sign for Panhandle Rd as the road was under construction.",36.45515,-82.09069,9,15,1,0,0,0,0,0,0,0,0,2003-05-27 18:44:29.0
3,"Coconino National Forest USFS, near Sycamore Pass Rd, flat parking spot.  Been a while (1999), but if I recall, it was near the end of a small spur road. Not far from Sedona.  Shrub trees provide moderate privacy.",34.85794,-111.94703,0,0,0,0,0,0,0,0,0,0,0,2003-05-27 18:47:40.0
5,"Roosevelt National Forest USFS.  VERY SMALL.  But nice view.  Difficult to get your vehicle flat.  Veer left at the fork in CR-47 (Larimer County) and it takes you up to a parking area.  Jeep road heads north and south from parking area.  Head south, and pull off is on your right.  Site has little privacy from the jeep road / parking area.  Definitely not for RVs.  4wd recommended.  If you have a very good 4wd vehicle, you might be able to camp nearby further South (or North) off of the 4wd road.  You *might* be able to find another spot closer to the gravel.  Great for accessing Estes Park and Rocky Mountain National Park.  Off of CR 47 (Larimer County).",40.25008,-105.41351,7,12,0,0,1,0,0,0,0,0,0,2003-05-27 18:45:31.0
6,"Lindsay Mtn Trailhead near Bell Mtn Wilderness.",37.62835,-90.83071,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:44:14.0
7,"I am local and have camped at the trailheads(there are three) and in the over 12,000 acres of Hercules Glades.  You can only access the wilderness area itself by horse or foot, but the camping at the trailhead is fine and FREE. Two of the trailheads(at the lookout tower and coy bald) have picnic tables and fire rings, one(Blair Ridge Road) is just a place to park(3 maybe 4 vehicles)but around it there is PLENTY of room to set up and camp.  I would NOT try to get an RV to coy bald, but the lookout tower trailhead is used by horse trailers and is a short gravel road off Hwy 125.  For full info including downloadable PDF go to http://www.fs.usda.gov/recarea/mtnf/recreation/hiking/recarea/?recid=21754&actid=51.   HAPPY CAMPING!!!",36.68465,-92.88165,0,0,0,1,0,0,1,0,0,0,0,2012-01-24 20:55:29.0
8,"Near Woodland Park just off Rampart Range Rd, not far from Pikes Peak and Colorado springs.",38.99234,-105.02261,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:45:12.0
9,"Silverthorne, Dillon campsite.",39.711,-106.16697,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:46:20.0
10,"Arapaho NRA campsite, in the national forest??",40.05166,-105.76773,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:45:53.0
11,"Gunnison or Grand Mesa National Forest, Rd 3100, Hotchkiss, Austin, CO.",38.99371,-107.70828,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:46:57.0
12,"Gunnison National Forest, FS/CR 721, near Curecanti NRA, Spinero, Cimarron, and Black Canyon of the Gunnison.",38.55315,-107.32545,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:46:41.0
13,"San Juan National Forest, CR 302, easy access to Pagosa Springs.",37.26605,-106.91709,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:43:50.0
14,"Carson National Forest, Taos, NM, FS 437.",36.33165,-105.39366,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:46:07.0
15,"Cibola National Forest, off of SR (CO 400), not far from Gallup, NM and Fort Wingate Military Reservation.",35.40953,-108.55274,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:41:35.0
16,"Coconino National Forest, Wet Beaver Wilderness Area, Montezuma castle NM, Lake Montezume, Rimrock.  

No crap!  That's the name of the wilderness area!",34.66669,-111.62552,0,0,1,0,0,0,0,0,0,0,0,2003-05-29 06:21:37.0
17,"Free campground in Canyon de Chelly NM, <a href=""http://www.freecampgrounds.com/arizona.html"">http://www.freecampgrounds.com/arizona.html</a>, facilities include flush toilets, picnic tables and drinking water. There are no shower facilities. No fee is required.",36.14735,-109.33895,0,0,1,1,1,1,0,1,1,0,1,2003-05-27 18:52:01.0
18,"San Juan National Forest, Not far from Mesa Verde and Mancos, FS 316",37.37053,-108.13545,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:53:01.0
19,"Manti-La Sal NF, near monticello, I think I camped next to an abandoned ski lift",37.86177,-109.43338,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:53:36.0
20,"Manti-La Sal NF, near Moab, loop rd, barely off of a fairly busy road.",38.61069,-109.24213,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:54:08.0
21,"Manti-La Sal NF, near Moab, I recall this being a gorgeous campsite at the base of Mt. Peale, 4wd absolutely required.",38.43295,-109.24349,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 18:55:28.0
24,"BLM near Moab. Closest NP is Canyonlands Needles District, not sure if legal.

The Lockhart Rd is still open to dispersed camping. The BLM has a camp ground called HAMBURGER ROCK with no facilities excepot pit toilets.

DO NOT CROSS INDIAN CREEK WITH YOUR RV! UNLESS YOU WANT TO STAY THERE - FOREVER!  Posted bu Bob on May 1, 2010",38.19067,-109.67056,0,0,1,0,0,0,0,0,0,0,0,2010-05-01 18:40:44.0
25,"BLM campsite near Natural Bridges UT",37.57053,-109.88304,0,0,1,0,0,0,0,0,0,0,0,2006-01-02 09:45:31.0
26,"Near Capitol Reef National Park, BLM lands, Hall Creek/Brimhall Arch overlook, gorgeous views, sunsets, and sunrises, incredible but difficult hike from here into Capitol Reef NP to Brimhal Arch.  Very rough gravel road to overlook, but plenty of camping available on the graded roads nearby.",37.70204,-110.91684,0,0,1,1,0,0,0,0,0,0,0,2006-05-29 20:22:57.0
27,"NPS Capitol Reef, first come first serve, Cathedral Valley, Pit toilets, picnic tables, and fire grates are the only facilities available.  We were the only ones there one summer night.",38.47462,-111.36826,0,0,1,1,1,1,1,0,0,0,0,2003-05-27 19:15:35.0
28,"NPS Capitol Reef, first come first serve, NPS calls it Cedar Mesa, but my mapping program shows it as Costa Mesa, Pit toilets, picnic tables, and fire grates are the only facilities available",38.00762,-111.09092,0,0,1,1,1,1,1,0,0,0,0,2003-05-27 19:14:55.0
29,"Dixie NF, FS 087, not far from Bryce Canyon NP",37.6604,-112.21749,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 19:16:04.0
30,"Kolob Rd near Zion NP, not sure this is legal.",37.22817,-113.15605,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 19:16:33.0
